ref,Partname,X,Y,R,size_x,size_y,top,bot,left,right
C3731,2203-010555,158.4638,8.076,270,0.6,0.3,1,0,1,0
C3732,2203-010555,159.2888,8.076,270,0.6,0.3,1,0,1,0
C3736,AT07-101982,139.5548,8.055,90,0.6,0.3,1,0,1,0
C3737,AT05-100451,139.9648,7.135,0,0.6,0.3,1,0,1,0
C3738,2203-010574,139.9648,6.68,0,0.6,0.3,1,0,1,0
C3739,2203-010551,139.9648,6.225,0,0.6,0.3,1,0,1,0
C3741,AT05-100451,142.9698,6.82,180,0.6,0.3,1,0,1,0
C3742,2203-010574,142.9698,7.73,180,0.6,0.3,1,0,1,0
C3743,2203-010551,142.9698,7.275,180,0.6,0.3,1,0,1,0
C3744,AT07-101982,141.537,7.1998,180,0.6,0.3,1,0,1,0
C3745,AT07-101982,141.537,6.3748,180,0.6,0.3,1,0,1,0
C3746,AT07-101982,143.2148,8.328,180,0.6,0.3,1,0,1,0
C3753,2203-010555,155.6138,8.076,90,0.6,0.3,1,0,1,0
C3800,AT07-101982,191.5158,8.114,180,0.6,0.3,1,0,1,0
C3801,AT05-100451,192.8908,8.236,90,0.6,0.3,1,0,1,0
C3802,2203-010574,192.4358,8.236,90,0.6,0.3,1,0,1,0
C3803,AT07-101982,188.5563,6.663,90,0.6,0.3,1,0,1,0
C3804,AT05-100451,189.1463,6.78,90,0.6,0.3,1,0,1,0
C3805,2203-010574,187.9663,6.78,90,0.6,0.3,1,0,1,0
C3806,AT07-102171,199.3408,8.076,270,0.6,0.3,1,0,1,0
C3807,AT07-102171,178.1913,8.385,0,0.6,0.3,1,0,1,0
C3808,AT07-102171,197.9908,8.076,270,0.6,0.3,1,0,1,0
C3809,AT07-102171,175.7363,6.605,90,0.6,0.3,1,0,1,0
C3810,AT07-101982,176.4363,6.605,90,0.6,0.3,1,0,1,0
C3811,AT07-101982,200.9158,6.691,270,0.6,0.3,1,0,1,0
C3812,AT07-102171,198.6658,8.076,270,0.6,0.3,1,0,1,0
C3813,AT07-102171,178.1913,7.66,180,0.6,0.3,1,0,1,0
C3814,2203-010555,187.0713,8.055,90,0.6,0.3,1,0,1,0
C3817,AT05-100451,186.9213,6.674,180,0.6,0.3,1,0,1,0
C3818,2203-010574,186.9213,7.129,180,0.6,0.3,1,0,1,0
C3819,2203-010551,186.9213,6.219,180,0.6,0.3,1,0,1,0
C3820,2203-010555,200.0908,6.691,270,0.6,0.3,1,0,1,0
C3821,2203-010555,199.2658,6.691,270,0.6,0.3,1,0,1,0
C3825,2203-010555,180.0863,8.061,90,0.6,0.3,1,0,1,0
